Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Complement and coagulation cascades,7/85,0.3880909067331984,0.7819331779439478,0,0,1.1896004258208983,1.1259754453839723,CFD;CR2;C8G;C7;F13A1;MASP1;CLU
KEGG_2021_Human,Glycosphingolipid biosynthesis,4/45,0.3895850815904475,0.7819331779439478,0,0,1.2930313588850175,1.2189057495956193,B3GALT1;GCNT2;B3GALT5;ST6GALNAC6
KEGG_2021_Human,Notch signaling pathway,5/59,0.3998043623022643,0.7967932009263438,0,0,1.227199322267228,1.1250717281098868,TLE4;KAT2B;DTX1;DTX3;HES5
KEGG_2021_Human,Type II diabetes mellitus,4/46,0.4058107377892497,0.8031079635969068,0,0,1.2621768707482994,1.1383174237670686,SOCS2;MAPK10;ADIPOQ;SLC2A4
KEGG_2021_Human,MAPK signaling pathway,22/294,0.4095399626972176,0.8048597878007818,0,0,1.0724227462330809,0.9573740827822272,MAP4K1;MEF2C;PTPRR;ANGPT1;PRKCB;CACNA2D1;HSPA2;EFNA5;RASGRP2;FGF2;CACNA1H;MAPK10;CACNB2;RAP1A;PDGFD;KIT;FLNA;FLNC;PRKACB;FGFR2;FGF10;FGFR1
KEGG_2021_Human,Signaling pathways regulating pluripotency of stem cells,11/143,0.4218965272836859,0.8178905038869104,0,0,1.1045704714046425,0.953239004966894,MEIS1;ACVR1C;WNT5B;HOXD1;LIFR;WNT9A;IL6ST;KLF4;FGF2;FGFR2;FGFR1
KEGG_2021_Human,Carbohydrate digestion and absorption,4/47,0.4219505779769926,0.8178905038869104,0,0,1.2327574750830566,1.0637058497803251,AMY2B;PRKCB;SI;ATP1A2
KEGG_2021_Human,Sulfur relay system,1/8,0.4414386580503758,0.8498444913486828,0,0,1.8927807758884023,1.5477575194948563,TST
KEGG_2021_Human,Ether lipid metabolism,4/49,0.4538806956652428,0.8652058590116601,0,0,1.17784126984127,0.9304014363460604,PLA2G2D;PLA2G10;GDPD3;PLA2G5
KEGG_2021_Human,Basal cell carcinoma,5/63,0.4561708268321459,0.8652058590116601,0,0,1.1423184047718813,0.8965919159845557,BMP2;WNT5B;HHIP;WNT9A;GLI3
