Gene,t_stat,p_value,log2FC,p_adj,group
KRTAP3-1,2.518931723413942,0.016010017169272386,0.19506206341104124,0.04019387658662579,NS
CLEC4GP1,-2.467535159052334,0.01602002240280257,-0.20582728704222153,0.040208874651168895,NS
SLC25A3,-2.4683700312833814,0.016020103904410485,-0.23852495544452168,0.040208874651168895,NS
ZNF10,-2.4797184018804383,0.016022950499597136,-0.46173863952705574,0.04021187205921377,NS
DDX51,2.466979657894108,0.016042026460832352,0.37774342993399834,0.04025559455050692,NS
SUPV3L1,2.4664859933200964,0.016060531612410216,0.24665233354382998,0.04029787579334106,NS
LRRC8C,-2.4678004800403093,0.016063625412521987,-0.44416948275924595,0.040301483303003614,NS
FCGR2C,-2.466428529923415,0.01607604028806316,-0.40848136113506683,0.04032847298735234,NS
RPL23AP53,-2.4681985629034475,0.016082452901576942,-0.32314829169593473,0.0403404013412468,NS
HLX-AS1,-2.509139988066305,0.016103559640070705,-0.3278552270421072,0.04038918142850259,NS
LINC01301,2.488019112400968,0.016117110561015842,0.507335410147957,0.04041900274246512,NS
SNHG5,2.464893641220431,0.016127021573546414,0.8852673245052838,0.040428593835534224,NS
FAT4,-2.473269313969052,0.0161280224331686,-1.0059032977724707,0.040428593835534224,Down
TUFM,2.465098066412753,0.016127016209927392,0.32529162723071003,0.040428593835534224,NS
SLA,-2.4696197120475585,0.016129241352284752,-0.019058783256468814,0.040428593835534224,NS
BTBD11,2.472778993140005,0.01612604289851638,0.8167116481791814,0.040428593835534224,NS
PHF2,-2.4658984958431227,0.016138556317081453,-0.31598214177987405,0.04044777616194586,NS
FYN,-2.4643727945555374,0.016149085839282967,-0.39296309176069677,0.04046999824784165,NS
RCOR3,-2.4681642765567955,0.016157489863425644,-0.28568986616474357,0.04048272143687084,NS
FUT8-AS1,2.46775670076344,0.016156874518590023,0.38160244799626264,0.04048272143687084,NS
HAPLN2,-2.488628372552286,0.01617967907916269,-0.14330181273961742,0.040534143511478604,NS
TESC-AS1,2.5158754395220635,0.01621859255639926,0.05587196482992575,0.04062387276574666,NS
MIR941-1,2.470391001627336,0.016218834146613844,0.43585858524947546,0.04062387276574666,NS
ISCA1,-2.462743808529863,0.016225068637843034,-0.2615344748159787,0.040629858215332666,NS
NOTCH2,-2.462580666116917,0.016223087731611498,-0.47831780128707546,0.040629858215332666,NS
TESK1,-2.4638183733273458,0.01622623241267333,-0.2582180112478909,0.040629858215332666,NS
ZNF793,-2.4623217965909814,0.016232983782978855,-0.37963170527043344,0.04064258161960632,NS
HS3ST2,-2.4863583395390365,0.0162843117508052,-0.6952033218561758,0.04076689751749772,NS
P2RX5,-2.467615987333206,0.0162964650474157,-0.9059260616112184,0.04079312624911628,NS
HIST2H3C,2.461159833253543,0.016311728265760377,1.7785811123019268,0.04082293491110083,Up
HIST2H3A,2.461159833253543,0.016311728265760377,1.7785811123019268,0.04082293491110083,Up
SOX2-OT,-2.4820730184799737,0.016326940774779843,-0.07841458126757636,0.04085680521285781,NS
ANXA11,-2.4619779006918407,0.01635320821923998,-0.2273889449845754,0.0409164025588175,NS
WFDC13,2.4883592574322737,0.016354119316634524,0.377448793252222,0.0409164025588175,NS
KIF7,-2.4584049206546896,0.016398119480211148,-0.31098649134158274,0.04102226929177821,NS
LINC01289,-2.49245707529339,0.01641355373004729,-0.0772385879474865,0.041056659839082216,NS
RASD1,-2.458777956319183,0.016425455093939854,-0.5450323982117604,0.041082207108542684,NS
AP2S1,2.4596370258857254,0.016438569542723613,0.3023247264432678,0.04111078289915958,NS
NUFIP2,2.4573701475952414,0.016440888090666107,0.3601282318195551,0.04111235640921192,NS
ADAMTS5,-2.4620500881636596,0.01648114727615492,-0.6897860167489265,0.041208794833299714,NS
SHISA6,-2.455952659578397,0.01650029805622897,-0.29174651139789054,0.041252440260569984,NS
C1R,-2.455858983867907,0.01651226627690846,-0.4783471024322239,0.04127812142936253,NS
C22orf23,-2.479962809061793,0.016525004712489244,-0.8916016193654186,0.041305722543461196,NS
ALDH3B1,2.4591084672187757,0.0165267129267678,0.4247029443842876,0.041305749798276795,NS
MTMR2,-2.456823536062869,0.016535763569190003,-0.23262327036283548,0.041319883172790624,NS
AFAP1L2,-2.458635418410554,0.016534819319282558,-0.27421105547136815,0.041319883172790624,NS
HLA-A,-2.455111391546355,0.016538122292948956,-0.4552226397488024,0.041321534304025236,NS
APOBEC3D,-2.455596181319563,0.01654114382579974,-0.3311538071940454,0.041324840996269624,NS
CXorf40A,-2.4671856492032713,0.016572976477492007,-0.17111935566090608,0.04140011861591516,NS
C15orf39,2.454237921452677,0.01657599118025046,0.3399281769159632,0.0414033995034974,NS
ZSCAN12,-2.453763659931134,0.01660058297579647,-0.34192236688633715,0.04146056930408281,NS
LOC101928416,2.4861615509433563,0.016607192116941717,0.07723794018831726,0.041472819636520636,NS
LOC101929505,-2.505657040038016,0.016611843697555313,-0.10930708747249636,0.041480179378586716,NS
MORC2-AS1,-2.453340839376533,0.01662384263818209,-0.23935788673135017,0.041505882265599606,NS
TGM4,-2.4779641229139253,0.016663129071784133,-0.09019315130483341,0.041599703435672826,NS
NEK5,2.452170017893186,0.0166748464274335,0.3093964676561207,0.04162468588142595,NS
LOC643387,2.458848587640553,0.01668888430235063,0.05046289823853926,0.041655455218667176,NS
PRKCA,-2.458750821860246,0.016698009503286267,-0.545214298653625,0.041673957468154506,NS
LINC01589,-2.465465091501812,0.0167117593896731,-0.36865024299988775,0.04170144738168517,NS
TAF1A-AS1,2.452750270307336,0.016712451360682754,0.25286595062104555,0.04170144738168517,NS
FASTKD2,2.464475175694939,0.016730411805397458,0.2253865799874184,0.041741982950189924,NS
XACT,-2.481528404448222,0.01674492852866651,-0.2042577601529495,0.04175851179313825,NS
GOLGA8T,-2.460693840399421,0.016739853360305906,-0.14708739986414038,0.04175851179313825,NS
NOXA1,-2.4503964990393468,0.016742209965495154,-0.34673243625880623,0.04175851179313825,NS
CSAG3,2.494615793192793,0.01674349291661158,0.28353784577831626,0.04175851179313825,NS
FZD4,-2.461099098422612,0.01674561623065566,-0.81358731365011,0.04175851179313825,NS
C17orf104,2.4513773209391383,0.016748063160354258,0.09446694002753814,0.04176033453589972,NS
FAM26E,-2.469238474585319,0.016774357925974644,-0.654236411267261,0.041821614023821216,NS
APOPT1,-2.4494724290710965,0.016776176881476815,-0.199749242772695,0.041821864432249514,NS
EDNRB,-2.4502646828282235,0.016779043676402636,-0.48653757765331473,0.041824726714015624,NS
KIAA1804,2.4615985950061487,0.016785391012324544,0.37750409288657716,0.04183626338344225,NS
ANKRD37,2.4585069702571483,0.016829377690562065,1.031257856876309,0.04194160117537311,Up
PIR-FIGF,-2.489077580017129,0.016848024426231012,-0.22925914082471444,0.04198377252065921,NS
LINC01273,2.452147136517905,0.01690456637105419,0.20649489495124812,0.04212035703962064,NS
KRTAP10-10,2.476827896532441,0.01691364748462998,0.08012720627500663,0.042138669654581816,NS
UBE2A,-2.4464774497009176,0.016917685379591,-0.25257154875178944,0.04214441512925853,NS
IFI6,2.445873483051645,0.016931272049127748,1.0128494821085248,0.042173944379485455,Up
SDHAP3,-2.4465382751386278,0.016935524381773592,-0.4859979968415349,0.042180219154113414,NS
ABAT,-2.455071136107853,0.016957837716826282,-0.2571592968234855,0.042231471415952154,NS
LOC101928525,2.4451494933784486,0.016961892180605675,0.2335466681448347,0.042237246301772204,NS
IGF2BP1,2.496519107627925,0.01696997351670492,1.78504447160572,0.0422530463988675,Up
PNLIPRP1,-2.4725528323083275,0.01700329560506181,-0.22876953960627866,0.042331683053174855,NS
ZNF235,-2.4435036374653487,0.017036277458305153,-0.3459829647066801,0.042409456651525596,NS
MAGEA12,2.4938267133849603,0.01705227670231353,0.7344252723583694,0.0424449428073542,NS
RNASEH1,2.456694525613951,0.017058845894329506,0.2147510288603076,0.042456951696093564,NS
XAGE5,2.489861596617115,0.017066622240430474,0.33992272634774295,0.04247196225003743,NS
DAB1,2.4564842253544747,0.01707630340907087,0.28686335306318184,0.042491709587234014,NS
LINC01592,2.464810370659732,0.017081220465048078,0.017918429951693623,0.04249959934949494,NS
LOC101929607,-2.4608732101069997,0.017085387244156612,-0.059104406540181995,0.042505285156149514,NS
LOC101929653,-2.4886165138291276,0.017086998877490576,-0.029758813062497412,0.042505285156149514,NS
BAK1,-2.4420775381834217,0.01709765852393798,-0.31814089261082223,0.042527454807701835,NS
LINC00304,-2.459670343994136,0.01711195417392741,-0.10800134783363918,0.04255866293067935,NS
PITRM1,2.4414653860192987,0.01712737408625921,0.3489845356365926,0.0425926605112614,NS
MCPH1,-2.4414815219293526,0.017143097713965997,-0.24073914891394477,0.04262740635200536,NS
ZNF724P,2.440685974404566,0.017156088550079874,0.6557167490247402,0.04265535052663913,NS
SNX20,2.445121413468393,0.017227390981297636,0.6677792989028195,0.04282825486983954,NS
FAM221A,2.4454359820177083,0.017249965205688646,0.5003623066351386,0.04287999522427363,NS
LOC729966,-2.438592096261733,0.017259663412540396,-0.749656534271689,0.04289972105071832,NS
GPR27,-2.4510423146997184,0.017276962225476724,-0.3584642279183457,0.04293833258978774,NS
CCDC87,-2.443013769776202,0.017294135566581274,-0.16404611768891048,0.04297662444075583,NS
NPFF,-2.4452228733654278,0.017315738252702773,-0.42540513487741727,0.04302591444943585,NS
KCTD8,-2.480732465522266,0.017326049110062646,-0.14901758092720213,0.04304713947345427,NS
NFE2L2,-2.4364362826505124,0.01734284519428474,-0.2253430616849963,0.04308447127890092,NS
PHACTR4,-2.436675259838661,0.01735880833626788,-0.3102701289111076,0.043119726413332164,NS
MIDN,-2.4387439245129556,0.017375184310458636,-0.4164026594846115,0.04315599973252923,NS
RREB1,-2.444549181665929,0.01739713787669232,-0.446440678195116,0.043206117702539466,NS
COLCA1,-2.435027073315668,0.01741033840976303,-0.27908151838049644,0.04323448934081562,NS
CHMP4C,2.4344540520794853,0.017430846425681754,0.6158406888059043,0.04328099975669739,NS
TRUB1,2.4540921868128382,0.017447935375424425,0.31937663731062305,0.04331901196657099,NS
EIF1B-AS1,-2.4356698565054247,0.017452375437864775,-0.1832774639043696,0.0433256154907556,NS
RNF149,2.433947099549579,0.017460470582549188,0.2969652649201615,0.04334129050356151,NS
SLC12A6,-2.433856327163684,0.017465713107741053,-0.28500775247967125,0.04334988212034536,NS
ZC3H6,-2.438317503683764,0.017477523524576384,-0.4795596754577729,0.043374771822770844,NS
GBP7,2.4378243064806466,0.017489597030082363,0.06360288898400711,0.0434003093019358,NS
FMNL1,-2.4362169831099245,0.017506998243903553,-0.28802503396173007,0.04343463240530501,NS
ZNF487,-2.4377346051742768,0.017505840158311768,-0.3392168619143061,0.04343463240530501,NS
CLRN3,-2.432903081116848,0.017510529116324624,-0.5905349786637322,0.043438963972974115,NS
CAMKK1,2.4341445327517297,0.017521170404305557,0.3645424580878225,0.04346093190899807,NS
PIGG,-2.4373062030587707,0.01753292617008564,-0.23458728965209907,0.04348565952662089,NS
GALC,-2.452593186969506,0.01754086472473771,-0.21715232830355635,0.04349696732698089,NS
ANKMY1,2.432807913835679,0.017541060048775085,0.37752749295505916,0.04349696732698089,NS
BANP,2.433900257446398,0.017543496097693387,0.2171567148959732,0.04349857575481062,NS
ANXA2P1,2.43285148409243,0.017551288207615996,0.5234078449102171,0.043500168023275575,NS
KRT1,-2.481721018149602,0.01754678683133714,-0.15321493311385814,0.043500168023275575,NS
LINC00514,2.432115577302684,0.017549807758147316,0.2013791502574161,0.043500168023275575,NS
NEURL4,-2.432883914943746,0.017548187946993844,-0.32748919467558,0.043500168023275575,NS
FUT7,2.4319940090774117,0.017557202154728634,0.2194674686289238,0.043510394260435445,NS
YIPF1,-2.4459655337609796,0.0175640970908968,-0.17832975726532663,0.04352304926219983,NS
VCX,2.4745789603227037,0.017582763288280512,0.09614577418084772,0.0435648673776822,NS
TSC22D2,-2.432361967784012,0.01758547988216239,-0.40281262248815874,0.04356716261959726,NS
GJB6,2.4785607459384464,0.017594313858746387,0.5072356848271135,0.04358461136669911,NS
SMCO3,-2.4518681714611947,0.017603381838724598,-0.21104517952937385,0.04360263617579662,NS
GRM3,-2.441535817496618,0.01760571614572778,-0.04754979506695302,0.04360398006538075,NS
ST8SIA4,-2.430550394152198,0.0176128123445337,-0.34336639970840377,0.043612678186464394,NS
PARP2,2.433644311712662,0.017612076446941613,0.3204321771153764,0.043612678186464394,NS
MCEE,-2.4302838962006605,0.01761738821438503,-0.2534863406826524,0.043619570616062066,NS
PFN2,-2.439643294694626,0.017642436978307918,-0.20533359022294118,0.04367714611435417,NS
IL3RA,-2.4376426891943863,0.01765299672091889,-0.49932837034730104,0.043694398718499,NS
PCDHGA2,-2.4309765665954917,0.01765203488121452,-0.24220694510021312,0.043694398718499,NS
NPC2,-2.428808682975979,0.017690954102464008,-0.2662301268738432,0.043779444685536316,NS
AMER2,-2.4819224634186963,0.017690083353109405,-0.14733867350790503,0.043779444685536316,NS
ABCA17P,2.4370066403583874,0.017708864647939904,0.09699907973803709,0.043819311649442354,NS
EFR3B,-2.4319281685316945,0.017711419884842303,-0.3291380914106703,0.04382117876347319,NS
LINC00431,2.437537307134914,0.01773228179199422,0.25322913488016185,0.04386833482667188,NS
C12orf42,-2.4374008480776195,0.017759873778824493,-0.07440728165404771,0.04393212932318285,NS
LOC101928865,-2.448613161351788,0.01779597285278493,-0.32489805511830766,0.04401695246929302,NS
FBF1,2.42890428772224,0.01780690218410998,0.35412162709905304,0.044039509304115904,NS
SPAG17,2.462081485800895,0.01781764398743147,0.18405244286610228,0.04406159781304057,NS
ZNF385D,-2.436991591823877,0.017828667441917256,-0.6655052530688155,0.044084378263208525,NS
TAOK2,-2.4251440531704533,0.0178538847655259,-0.2415674902260161,0.044137763069264355,NS
KRTAP10-12,2.4651935559441154,0.017852826003235202,0.06853997793525717,0.044137763069264355,NS
ZNF138,2.4260411878031847,0.017857110087708843,0.3935833563488198,0.044141252523563476,NS
HLA-DRA,-2.4346290842733738,0.017877396083467816,-0.15857239714490756,0.04418690951526232,NS
EGOT,2.4244619963283314,0.01788262437718868,0.3923576053526312,0.044195343438942186,NS
PCDHB7,-2.4355332893841544,0.017890269939261697,-0.3348667068360903,0.044209749110669445,NS
PRMT7,2.4241030353325117,0.01789525754444693,0.25511352514120045,0.04421758428283688,NS
BMP7,2.426492887227878,0.017904119471709765,0.975576289031288,0.04423498999629734,NS
HOTAIR,2.450434246199615,0.017912193557353986,0.32196723952089,0.04425044588486109,NS
SDK2,-2.4252851681026995,0.017915374598144358,-0.27094275775116716,0.044253812040239655,NS
ERCC6L2,-2.4236123868912944,0.01792367844155066,-0.3638475572825146,0.0442698303616743,NS
ADAMTS7,2.422887297634744,0.01795934741268728,0.510663993477436,0.04435342791101661,NS
MPP3,2.42600592764654,0.017974560842414364,0.37988741244524493,0.04438649545012643,NS
ZC3H18,2.4240264757621883,0.01797891237997303,0.33435109322933165,0.044392736574576264,NS
BEX2,-2.432347160496052,0.018005922042872723,-0.21103503522359235,0.044454917199487735,NS
HBA2,-2.4227084555571885,0.01803272163594214,-0.18422428729104556,0.044516566619221744,NS
MTRF1,2.42319794240302,0.01803770589444852,0.3918425233353888,0.044524354462653334,NS
CBR4,-2.420849093290029,0.018044410043991776,-0.2923797231811571,0.044536385682615,NS
CBLL1,2.423285216879358,0.018048467737653503,0.29498454078016856,0.044541883263719266,NS
RSPO4,2.4628598447299326,0.01805033253262576,0.3994515857631107,0.0445419684155324,NS
