Gene,t_stat,p_value,log2FC,p_adj
CRYAB,-6.509095157397483,1.8266254799596235e-08,-2.7103326586183822,2.8772011443558185e-07
SULT1A2,-10.590995222021116,1.2629412186394793e-15,-2.701945662996923,4.0979916662413826e-13
KRTAP13-2,-5.335758120449026,2.869537958377421e-06,-2.6966966530631806,2.2289523062583124e-05
C1orf95,-8.786102050513586,2.6532967461645465e-11,-2.688438308590173,1.1489435874494734e-09
CEACAM7,-7.086477763674443,8.818083819396411e-10,-2.676314706717333,2.167645331604354e-08
TMEM72,-9.586601678593182,8.147555030457289e-13,-2.6642865766578145,6.676057212835305e-11
PGM5-AS1,-7.079507682038958,3.1768100635481984e-08,-2.6626650847459876,4.6100685573350597e-07
LMO3,-7.101086447463444,7.963759608915935e-09,-2.6566118447762683,1.4019158555574072e-07
STMN2,-9.530835016426972,9.544340039534701e-14,-2.6522126898724494,1.1911336369339308e-11
TCL1A,-4.826335798883317,1.9086043065854393e-05,-2.647497656227778,0.00011545561621939661
TAGLN,-4.8024467833193185,1.293823164628025e-05,-2.646411472790729,8.188941621427207e-05
UGT1A8,-7.689985382024241,1.824473463191148e-10,-2.6417714094145337,5.75134536272277e-09
C2orf88,-10.966879530286972,6.73846603911948e-17,-2.639125426830435,3.7269843074548105e-14
ZBTB16,-6.169597958597922,6.750256974248213e-08,-2.637444282571394,8.812996444490586e-07
SGCA,-7.1966595399522815,3.9141164940188376e-09,-2.634487757793239,7.741325572149715e-08
PNCK,-3.4161243502993055,0.0014027234813160138,-2.6323044028929834,0.004908927040740079
ASB2,-8.068116249225788,2.1567698692678921e-10,-2.631712873585193,6.643943232721952e-09
PDZRN4,-6.531144557783502,1.5017571383927817e-07,-2.6292753177399075,1.7612897214422525e-06
FAM129A,-6.960803850475331,3.214010865605355e-09,-2.6289238427029575,6.561759096088248e-08
PTN,-8.973456759660746,2.0491199688517976e-12,-2.6257524333472624,1.41668703301072e-10
SDPR,-7.6232812506404715,3.2491414558713195e-10,-2.6145036800310355,9.413226960724335e-09
HPGD,-9.252257548576988,8.044691622297739e-14,-2.612463539252973,1.0303979753696726e-11
C1QTNF7,-9.462141706699,1.7025582061488828e-12,-2.6019875014289515,1.2258419084271957e-10
FAM46B,-4.32641574783018,8.687759153897202e-05,-2.6002164346913177,0.0004327165508989814
PDK4,-8.427175013231043,2.702752515062199e-12,-2.5785253847434175,1.7681232582406902e-10
CCL19,-5.562115964629582,6.283069622566816e-07,-2.5758851794446023,6.019873320267167e-06
CR2,-4.945567553463975,9.077662048537445e-06,-2.573870819826818,6.025385847033866e-05
FLNC,-3.9738164100396616,0.0002314940639620721,-2.5723399324729224,0.0010200664323434775
MASP1,-5.803395702569054,7.68499653790995e-07,-2.572098820648832,7.168343263571351e-06
CCL21,-7.169961611852988,6.335934130667285e-10,-2.5659728239331874,1.668736937271851e-08
GLP2R,-14.64317936693798,5.631532735605584e-20,-2.551886136278497,2.284149677561625e-16
WISP2,-8.012978784389842,5.147686660074302e-11,-2.55069858979058,1.972820512749106e-09
ADAM33,-8.387104613074872,1.2563313620002666e-11,-2.545739997666277,6.151726363307542e-10
