Gene,t_stat,p_value,log2FC,p_adj
PI3,2.9360819135100624,0.00448152525475442,1.895931768625175,0.013399975254908904
RNF183,6.815996967134673,7.641525336470212e-09,1.8951777045895282,1.3514837252059525e-07
HSPA6,4.519702045980498,2.6092477757899655e-05,1.8897254155501062,0.00015140356192566668
CDK1,8.402344068704405,8.11418943822804e-12,1.888006727207335,4.302111419797769e-10
SOX9,7.706047623945109,9.326898973246802e-11,1.8779182797186431,3.219566147701194e-09
CKS2,9.292802945936192,1.0116289200158718e-13,1.8756744020509633,1.2210257574837674e-11
UNC93A,5.094638165589658,5.31152790799865e-06,1.8712855968997948,3.7851052172490524e-05
MROH6,7.33273164208101,3.237931229481327e-10,1.867161291679389,9.394012166627231e-09
RIIAD1,3.409276907444389,0.0012885171812891348,1.8619213920759354,0.00456505373764047
GRHL3,9.495682912437525,2.1756355326363396e-12,1.8610494235904453,1.474826359950918e-10
C17orf96,8.5241061973959,1.8343756427156307e-12,1.8608911787010032,1.3014975405576556e-10
MALRD1,3.000480898385619,0.004557075400413491,1.8563283340114585,0.013583660794586122
ZFAS1,9.594185650649598,2.9558106989316655e-14,1.8558019076744205,4.5097740762644365e-12
MEX3A,7.979616753587218,7.861832579598338e-11,1.8531899980703888,2.813611142016252e-09
DBNDD1,10.747396798678304,4.61389809272654e-16,1.852981420416649,1.9359279997343633e-13
PLEKHG4,8.113966356866088,2.201233889666541e-11,1.8514777330625454,9.811213908228011e-10
LRRC8E,9.787071030083222,1.1144660341161595e-14,1.8490828382745976,2.152511540178639e-12
LINC01411,3.4823751830650513,0.0010999034363059343,1.8477598391196697,0.003965518522361661
PKMYT1,8.482584353988244,3.314019441069591e-12,1.8466454926957225,2.111255945493968e-10
CDCA5,8.78946454974421,7.527875169217265e-13,1.8445753475822388,6.268123559113863e-11
MAD2L1,8.585150413061587,1.391918262921326e-12,1.8439581363363198,1.0412789970103224e-10
STC2,6.685886572407815,4.420262915730969e-09,1.8427808417050953,8.598842391465136e-08
AKR1C4,4.24063122336022,0.00010967903106943795,1.842186475202658,0.000530434996046471
TMEM132A,8.917680232602674,3.767255018697136e-13,1.8346476877908038,3.578494033164136e-11
AURKA,8.202023873003617,7.323220144851658e-12,1.8336296869771318,3.96536138484464e-10
GAD1,5.590026399554291,1.1066887126183557e-06,1.8317314890644336,9.825748453221563e-06
TMPRSS13,6.0522197250456795,2.7567111956890684e-07,1.8308704443728732,2.9622187873896757e-06
MYEOV,6.033929977191562,6.73969917225758e-08,1.8297948282253556,8.803935537093959e-07
IQGAP3,7.700141857401506,8.025561101340881e-11,1.8286007510249958,2.855410160266545e-09
TNNI3,6.652323075366964,3.626917778490229e-08,1.8276998153740327,5.176813551750042e-07
PTK7,6.864954067171237,2.35820427728033e-09,1.8231910824370328,5.0297335049863375e-08
SNTB1,6.695481574344041,7.788974580361814e-09,1.823107430032716,1.3755623032488034e-07
SRMS,6.689937504261683,4.376183019024153e-09,1.8155857056830422,8.5335568870971e-08
MMP12,5.803880859149234,1.9454317251837462e-07,1.8152008693800372,2.1908387998182157e-06
UBE2S,10.923265637834298,4.971560032202542e-16,1.8135763176941557,2.0191606574910732e-13
WNT11,3.3981480412604106,0.0012717388401811713,1.8125987397333998,0.0045095492371629
MAGEA6,2.6150635765059516,0.012576071553396925,1.7939315820704496,0.03264546958116987
ADAMTS12,5.840138057480686,1.7094702499862745e-07,1.7899568077732013,1.9614176333647323e-06
CCL20,4.208720173566863,7.756256259024333e-05,1.7888929378752705,0.00039291476336306445
MFAP2,6.610980443069,6.02202171824924e-09,1.7855215714336699,1.1127708468892445e-07
IGF2BP1,2.496519107627925,0.01696997351670492,1.78504447160572,0.0422530463988675
CEP55,8.43437294001371,4.331346623294122e-12,1.7832881341627496,2.5898685853682004e-10
ADAM12,5.280612301923261,1.665299831633118e-06,1.7786326906479053,1.3931501100936252e-05
HIST2H3C,2.461159833253543,0.016311728265760377,1.7785811123019268,0.04082293491110083
HIST2H3A,2.461159833253543,0.016311728265760377,1.7785811123019268,0.04082293491110083
CXCL8,6.488662123932972,1.4275036045298111e-08,1.7783965307621532,2.3129893821571907e-07
HAGHL,8.936996121181991,5.297127845956274e-13,1.7732250664226554,4.653823222353498e-11
SEMG1,2.5633852411488234,0.013913245791252058,1.7704047032389567,0.03562259332729196
CSF2,5.512481872051431,1.1801868072813372e-06,1.7675935791247923,1.041749225317324e-05
AZGP1,7.203634596432987,6.06924475121118e-10,1.7668346691540373,1.6054471767986444e-08
KIF2C,8.117960651664413,1.1219678040738548e-11,1.7629283806010445,5.568484674320251e-10
NUF2,8.141123911658028,9.343697211580608e-12,1.7625439219512238,4.777063347500539e-10
HOXB8,4.689600404548084,1.535876692016377e-05,1.7574284269854106,9.537406271219839e-05
TRPM2-AS,8.115721751112403,4.521780166856541e-11,1.7558681232427742,1.7720135610405925e-09
RECQL4,7.534876846869504,1.244247733553957e-10,1.7527121456977661,4.147946964899877e-09
ZP3,7.1745592899634305,8.684254315476465e-10,1.74963858153595,2.1434078399739882e-08
RPL22L1,5.199557130948337,3.2871925868089064e-06,1.7451006383208436,2.505390503995664e-05
LRP4-AS1,3.5500863736680084,0.0008110792828963747,1.742116609943464,0.003043704769246904
EGFL6,8.122409269615629,1.4106848777302358e-11,1.7420310427552363,6.754576034420306e-10
MLXIPL,5.569510546602094,4.436073855612729e-07,1.7418125873756782,4.4683896254218286e-06
SORD,8.857464180637272,5.075425779735948e-13,1.736316284900326,4.493845750693566e-11
TG,7.081788094796444,6.146706944147712e-09,1.735722609196613,1.1281015097494624e-07
BHLHE40,6.898453870683956,1.8453461379421978e-09,1.7353212115524066,4.0825766920873934e-08
UBE2T,7.863974273387868,2.990105216608263e-11,1.7349379186181726,1.2699336919961376e-09
C19orf48,11.071219972772573,4.769727422194421e-17,1.7340879506296183,3.0743500885365994e-14
SLC2A1,6.890725638450841,2.4464894767352592e-09,1.7312141656724425,5.199805057277665e-08
CEP72,7.000579740867831,1.32092080750033e-09,1.729823829710238,3.065350522324534e-08
DACH1,7.055077180684087,1.1574673925628976e-09,1.7268051390316441,2.726827344183028e-08
NXPH4,3.8658573697872356,0.00035622163299436546,1.724423811967058,0.0014816287233893142
FXYD5,8.161876650157424,8.37734996457162e-12,1.7222661682833271,4.39377561934946e-10
IER5L,9.208439212122354,1.5046049169601967e-13,1.7196789764713794,1.6419760205893876e-11
SMOX,8.430441170407542,2.6609619326559664e-12,1.7191591021187769,1.750193772786908e-10
DDN,8.654867558476594,6.496101496181988e-11,1.712793284291004,2.3880532630073238e-09
UNC5CL,6.5215547474144255,1.0799659117869218e-08,1.710359287444241,1.8289527090637806e-07
MFI2,4.3744528485335,4.927582320735892e-05,1.7098551720526887,0.00026407761144555975
PRR7,9.700563394386974,1.3523761235043265e-14,1.7086771758187722,2.512322545160404e-12
PLK1,7.240105149757125,7.545968594209398e-10,1.7082233144633983,1.9289778540827722e-08
WISP3,3.2335005183787544,0.002480048809829812,1.708106363252671,0.008041901110728621
HS6ST2,4.155030935221457,0.00012784635817745602,1.7074461868937971,0.000606130717437477
ATP11A,7.009214899211024,1.2067585094059076e-09,1.7058410218174993,2.826532731944386e-08
MAFG-AS1,14.177700322839165,1.6857345868077003e-20,1.7054089783836628,8.204807380910439e-17
KLHL35,8.761672115114504,6.8664913620259614e-12,1.7039996828441526,3.7635795897807165e-10
SULT1C2,4.602121750879522,1.951708143830797e-05,1.698574060110411,0.00011765362741705792
CENPF,6.468600944229652,1.1470746168475198e-08,1.6976013649832056,1.9278458477625166e-07
KIF20A,8.24964302185515,6.368502015375517e-12,1.6974113617938094,3.546541534237496e-10
GALNT6,6.794861690908613,2.788496892234096e-09,1.6972249641486554,5.829970822114172e-08
E2F1,7.96479972814724,1.9436488399946183e-11,1.696905995944714,8.864498702799255e-10
CKAP2,8.516845597402954,1.874557209383096e-12,1.6968111093483667,1.3146750503615856e-10
LEF1,6.386940600309494,2.0125079148096003e-08,1.6964684654784623,3.11554660399532e-07
FAP,5.722997195433075,2.3543358247236368e-07,1.6961198945925196,2.58318830615304e-06
AHCY,9.168619478896433,1.9270928866220076e-13,1.696111239534467,1.978807278009839e-11
PIWIL1,6.030161761144248,2.503204387300568e-07,1.6947847998039975,2.7231999092242562e-06
